filename,primary_label,fold,source,site_code,author,group_key
1161364/iNat1216197.ogg,1161364,3,clip,N/A,Lucas Barbosa,Lucas Barbosa
1161364/iNat1114648.ogg,1161364,3,clip,N/A,Lucas Barbosa,Lucas Barbosa
1161364/iNat810195.ogg,1161364,3,clip,N/A,Lucas Barbosa,Lucas Barbosa
1161364/iNat818781.ogg,1161364,3,clip,N/A,Lucas Barbosa,Lucas Barbosa
1161364/iNat556514.ogg,1161364,3,clip,N/A,Lucas Barbosa,Lucas Barbosa
1161364/iNat868369.ogg,1161364,4,clip,N/A,Carlos Otávio Gussoni,Carlos Otávio Gussoni
1161364/iNat842139.ogg,1161364,3,clip,N/A,Pedro Cavalcante,Pedro Cavalcante
1161364/iNat840159.ogg,1161364,3,clip,N/A,Pedro Cavalcante,Pedro Cavalcante
1161364/iNat1264238.ogg,1161364,0,clip,N/A,Alexandre S. Michelotto,Alexandre S. Michelotto
1161364/iNat869958.ogg,1161364,4,clip,N/A,Vitor C. Dias Gonçalves,Vitor C. Dias Gonçalves
1161364/iNat547199.ogg,1161364,1,clip,N/A,Douglas Henrique Bottura Maccagnan,Douglas Henrique Bottura Maccagnan
116570/iNat1460166.ogg,116570,1,clip,N/A,Unknown,Unknown
1176823/iNat936019.ogg,1176823,0,clip,N/A,Nadia Naab,Nadia Naab
1176823/iNat1708543.ogg,1176823,2,clip,N/A,Hugo,Hugo
1176823/iNat389418.ogg,1176823,3,clip,N/A,Geografiaargentina,Geografiaargentina
1176823/iNat188986.ogg,1176823,3,clip,N/A,Nadia Bach,Nadia Bach
1176823/iNat145706.ogg,1176823,3,clip,N/A,lorenzohughes,lorenzohughes
1176823/iNat1641731.ogg,1176823,4,clip,N/A,Iker Aparicio,Iker Aparicio
1176823/iNat845830.ogg,1176823,4,clip,N/A,Javier Piquillén,Javier Piquillén
1176823/iNat730318.ogg,1176823,2,clip,N/A,vinicius_s_domingues,vinicius_s_domingues
1176823/iNat730319.ogg,1176823,2,clip,N/A,vinicius_s_domingues,vinicius_s_domingues
1176823/iNat1269019.ogg,1176823,1,clip,N/A,Gabriel Laufer,Gabriel Laufer
1176823/iNat819936.ogg,1176823,1,clip,N/A,Pablo H Capovilla,Pablo H Capovilla
1176823/iNat829107.ogg,1176823,1,clip,N/A,Alan Hentz,Alan Hentz
1595929/iNat1308166.ogg,1595929,3,clip,N/A,Sebastián Gómez Barboza Silveira,Sebastián Gómez Barboza Silveira
1595929/iNat1679888.ogg,1595929,3,clip,N/A,Sebastián Gómez Barboza Silveira,Sebastián Gómez Barboza Silveira
1595929/iNat1242532.ogg,1595929,1,clip,N/A,Gabriel Laufer,Gabriel Laufer
1595929/iNat1242529.ogg,1595929,1,clip,N/A,Gabriel Laufer,Gabriel Laufer
1595929/XC999239.ogg,1595929,2,clip,N/A,Franco Vushurovich,Franco Vushurovich
209233/iNat1545859.ogg,209233,3,clip,N/A,Moses J. Michelsohn,Moses J. Michelsohn
209233/iNat864998.ogg,209233,1,clip,N/A,Sam,Sam
22930/iNat897105.ogg,22930,2,clip,N/A,Esteban Diego Koch,Esteban Diego Koch
22930/iNat317238.ogg,22930,2,clip,N/A,Diego Santana,Diego Santana
22930/iNat910967.ogg,22930,2,clip,N/A,Rich Hoyer,Rich Hoyer
22930/iNat1248662.ogg,22930,1,clip,N/A,geraldomorais,geraldomorais
